2024-07-14 15:02:45,708 - inference - INFO - training started...
2024-07-14 15:13:56,674 - inference - INFO - training started...
2024-07-14 15:47:33,830 - inference - INFO - CHD: exp profit=0.05580468259037638, MSE=0.021041420904845804
2024-07-14 15:47:44,818 - inference - INFO - CI: exp profit=0.07649238874881162, MSE=0.025876561284887294
2024-07-14 15:47:55,927 - inference - INFO - CINF: exp profit=0.0749245231883643, MSE=0.05444531598488444
2024-07-14 15:48:05,772 - inference - INFO - CTAS: exp profit=0.07719415365597868, MSE=0.026004444483670622
2024-07-14 15:48:15,381 - inference - INFO - CSCO: exp profit=0.08255837531247279, MSE=0.02820927978797573
2024-07-14 15:48:27,138 - inference - INFO - C: exp profit=0.06771837464964096, MSE=0.05996250456983008
2024-07-14 15:48:38,358 - inference - INFO - CLX: exp profit=0.0739140976657635, MSE=0.02806956037487335
2024-07-14 15:48:45,424 - inference - INFO - CME: exp profit=0.024683527049647352, MSE=0.016820079094723252
2024-07-14 15:49:00,930 - inference - INFO - CMS: exp profit=0.03513693318721404, MSE=0.018975414003675407
2024-07-14 15:49:14,983 - inference - INFO - KO: exp profit=0.07756549599162967, MSE=0.009965527527280197
2024-07-14 15:49:21,307 - inference - INFO - CTSH: exp profit=0.049262679535878026, MSE=0.035942965124016235
